"month","day","rise","rise_day","set","set_day","rise_date","set_date","utc_offset"
"1","1","0456","SAME","1947","SAME","2018-01-01 04:56:00","2018-01-01 19:47:00","UTC+10:00"
"1","2","0457","SAME","1947","SAME","2018-01-02 04:57:00","2018-01-02 19:47:00","UTC+10:00"
"1","3","0458","SAME","1947","SAME","2018-01-03 04:58:00","2018-01-03 19:47:00","UTC+10:00"
"1","4","0459","SAME","1947","SAME","2018-01-04 04:59:00","2018-01-04 19:47:00","UTC+10:00"
"1","5","0500","SAME","1947","SAME","2018-01-05 05:00:00","2018-01-05 19:47:00","UTC+10:00"
"1","6","0501","SAME","1947","SAME","2018-01-06 05:01:00","2018-01-06 19:47:00","UTC+10:00"
"1","7","0502","SAME","1947","SAME","2018-01-07 05:02:00","2018-01-07 19:47:00","UTC+10:00"
"1","8","0503","SAME","1947","SAME","2018-01-08 05:03:00","2018-01-08 19:47:00","UTC+10:00"
"1","9","0504","SAME","1947","SAME","2018-01-09 05:04:00","2018-01-09 19:47:00","UTC+10:00"
"1","10","0505","SAME","1947","SAME","2018-01-10 05:05:00","2018-01-10 19:47:00","UTC+10:00"
"1","11","0506","SAME","1947","SAME","2018-01-11 05:06:00","2018-01-11 19:47:00","UTC+10:00"
"1","12","0507","SAME","1946","SAME","2018-01-12 05:07:00","2018-01-12 19:46:00","UTC+10:00"
"1","13","0508","SAME","1946","SAME","2018-01-13 05:08:00","2018-01-13 19:46:00","UTC+10:00"
"1","14","0509","SAME","1946","SAME","2018-01-14 05:09:00","2018-01-14 19:46:00","UTC+10:00"
"1","15","0510","SAME","1945","SAME","2018-01-15 05:10:00","2018-01-15 19:45:00","UTC+10:00"
"1","16","0511","SAME","1945","SAME","2018-01-16 05:11:00","2018-01-16 19:45:00","UTC+10:00"
"1","17","0512","SAME","1944","SAME","2018-01-17 05:12:00","2018-01-17 19:44:00","UTC+10:00"
"1","18","0513","SAME","1944","SAME","2018-01-18 05:13:00","2018-01-18 19:44:00","UTC+10:00"
"1","19","0514","SAME","1944","SAME","2018-01-19 05:14:00","2018-01-19 19:44:00","UTC+10:00"
"1","20","0515","SAME","1943","SAME","2018-01-20 05:15:00","2018-01-20 19:43:00","UTC+10:00"
"1","21","0516","SAME","1942","SAME","2018-01-21 05:16:00","2018-01-21 19:42:00","UTC+10:00"
"1","22","0518","SAME","1942","SAME","2018-01-22 05:18:00","2018-01-22 19:42:00","UTC+10:00"
"1","23","0519","SAME","1941","SAME","2018-01-23 05:19:00","2018-01-23 19:41:00","UTC+10:00"
