Weeknights(d),Weekend nights(e)(f),All nights,Weekdays ,Weekend nights(e)(f),All days,,,,,,
5 - 17 years old,,,,,,,,,,,
Major Cities of Australia,10:34 pm,11:00 pm,10:41 pm,07:00 am,07:30 am,07:07 am,,,,,
Regional and Remote Australia(i),10:03 pm,10:27 pm,10:10 pm,06:49 am,07:07 am,06:53 am,,,,,
,18-64,,,,,,,,,,
Major Cities of Australia,11:21 pm,11:42 pm,11:27 pm,06:45 am,07:32 am,06:55 am,,,,,
Regional and Remote Australia(i),10:57 pm,11:05 pm,11:01 pm,06:27 am,07:04 am,06:35 am,,,,,
,65+,,,,,,,,,,
Major Cities of Australia,10:57 pm,11:04 pm,10:59 pm,06:44 am,07:01 am,06:48 am,,,,,
Regional and Remote Australia(i),10:45 pm,10:48 pm,10:47 pm,06:44 am,06:54 am,06:46 am,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
