lat_bin,lon_bin,bulb_type,streetlight_count,avg_bulb_watts
-35.1,117.8,Compact Fluorescent,4,42.0
-35.1,117.9,Compact Fluorescent,100,42.0
-35.1,117.9,High Pressure Sodium,4,150.0
-35.1,117.9,Light-Emitting Diode,167,24.676646706586826
-35.1,117.9,Mercury Vapour/Universal,205,98.65853658536585
-35.0,116.7,Compact Fluorescent,8,42.0
-35.0,116.7,Light-Emitting Diode,504,18.325396825396826
-35.0,116.7,Mercury Vapour/Universal,16,91.25
-35.0,117.3,Compact Fluorescent,176,42.0
-35.0,117.3,Light-Emitting Diode,151,31.28476821192053
-35.0,117.3,Mercury Vapour/Universal,133,96.2406015037594
-35.0,117.4,Compact Fluorescent,308,42.0
-35.0,117.4,High Pressure Sodium,88,209.0909090909091
-35.0,117.4,Light-Emitting Diode,502,36.657370517928285
-35.0,117.4,Mercury Vapour/Universal,294,104.74489795918367
-35.0,117.4,Unknown,4,
-35.0,117.5,Compact Fluorescent,4,42.0
-35.0,117.5,Light-Emitting Diode,4,16.0
-35.0,117.7,Compact Fluorescent,8,42.0
-35.0,117.7,Light-Emitting Diode,20,23.8
-35.0,117.7,Mercury Vapour/Universal,8,102.5
-35.0,117.8,Compact Fluorescent,235,42.0
-35.0,117.8,High Pressure Sodium,32,150.0
-35.0,117.8,Light-Emitting Diode,761,25.270696452036795
-35.0,117.8,Mercury Vapour/Universal,1082,93.6829944547135
-35.0,117.8,Metal Halide,32,70.0
-35.0,117.8,Unknown,6,
-35.0,117.9,Compact Fluorescent,2127,42.0
-35.0,117.9,High Pressure Sodium,1206,201.92371475953564
-35.0,117.9,Light-Emitting Diode,6130,51.98694942903752
-35.0,117.9,Mercury Vapour/Universal,3157,99.10991447576814
-35.0,117.9,Metal Halide,64,188.75
-35.0,117.9,Unknown,52,
-35.0,118.0,Mercury Vapour/Universal,24,125.0
-34.9,117.3,Mercury Vapour/Universal,4,80.0
-34.9,117.4,High Pressure Sodium,32,150.0
-34.9,117.4,Light-Emitting Diode,16,70.0
-34.9,117.4,Mercury Vapour/Universal,8,102.5
-34.9,117.7,Compact Fluorescent,1,42.0
-34.9,117.7,Light-Emitting Diode,7,18.285714285714285
-34.9,117.7,Mercury Vapour/Universal,16,80.0
-34.9,117.8,Compact Fluorescent,4,42.0
-34.9,117.8,Mercury Vapour/Universal,8,80.0
-34.9,117.9,Compact Fluorescent,12,42.0
-34.9,117.9,High Pressure Sodium,4,150.0
-34.9,117.9,Light-Emitting Diode,36,31.11111111111111
-34.9,117.9,Mercury Vapour/Universal,40,125.0
-34.9,118.0,Compact Fluorescent,8,42.0
-34.9,118.0,Light-Emitting Diode,21,22.666666666666668
-34.9,118.0,Mercury Vapour/Universal,51,97.6470588235294
-34.8,117.7,Compact Fluorescent,28,42.0
-34.8,117.7,Mercury Vapour/Universal,12,80.0
-34.8,118.2,Compact Fluorescent,4,42.0
-34.8,118.2,Light-Emitting Diode,28,28.571428571428573
-34.8,118.2,Mercury Vapour/Universal,12,80.0
-34.7,117.7,Mercury Vapour/Universal,4,125.0
-34.7,117.9,Light-Emitting Diode,8,31.5
-34.7,117.9,Mercury Vapour/Universal,20,80.0
-34.6,116.1,Light-Emitting Diode,240,28.4
-34.6,117.7,Compact Fluorescent,264,42.0
-34.6,117.7,High Pressure Sodium,132,216.66666666666666
-34.6,117.7,Light-Emitting Diode,512,56.1953125
-34.6,117.7,Mercury Vapour/Universal,284,102.46478873239437
-34.6,117.7,Metal Halide,72,141.11111111111111
-34.6,117.7,Unknown,4,
-34.5,116.0,Compact Fluorescent,4,42.0
-34.5,116.0,Mercury Vapour/Universal,12,80.0
-34.5,117.0,Compact Fluorescent,8,42.0
-34.5,117.0,Light-Emitting Diode,32,50.125
-34.5,117.0,Mercury Vapour/Universal,16,80.0
-34.5,117.6,Compact Fluorescent,20,42.0
-34.5,117.6,Light-Emitting Diode,36,26.22222222222222
-34.5,117.6,Mercury Vapour/Universal,8,125.0
-34.5,118.6,Light-Emitting Diode,12,29.666666666666668
-34.5,118.6,Mercury Vapour/Universal,4,80.0
-34.4,116.0,Compact Fluorescent,124,42.0
-34.4,116.0,High Pressure Sodium,80,236.0
-34.4,116.0,Light-Emitting Diode,12,31.666666666666668
-34.4,116.0,Mercury Vapour/Universal,348,98.62068965517241
-34.4,116.0,Metal Halide,8,110.0
-34.4,116.0,Unknown,4,
-34.4,116.2,Light-Emitting Diode,24,16.0
